4318.18,5859.09,6205.27
8577.27,15400,15967.18
14175,18029.17,18965.58
19972.41,25155.17,26582
22286.11,27933.33,29833.56
20547.73,25459.09,27615.77
17718.87,21911.32,24342.64
14241.27,17455.56,19993.68
11651.39,14354.17,17291.86
16370.93,21102.33,28155.74
2525,3825,4086.38
4681.25,6531.25,6943.5
7088.89,9561.11,10252.44
11319.05,14452.38,15629.43
13615.38,17434.62,19041.77
12987.88,16542.42,18352.67
13961.54,17525.64,20025.08
13415.22,16758.7,19792.09
12716.98,16188.68,20157.06
29828.13,40014.06,55081.38